NOME,ABA,CLASSE,DOSE,DOSE_UNI,VOLUME,DILUICAO,DOSE_SOLUCAO,VOLUME_SOLUCAO,DOSE_USUAL,UNI_USUAL,CONCENTRACAO_SOLUCAO,BOLUS,DOSE_MANU,VOL_MANU,DESCRICAO
Fentanil,sedativo,Sedativo,250,mcg,10,5 frascos (50mL) + SF 0.9% 50mL ,1250,100,1-3,kg/h,12.5,N,,,Analgésico opióide. Pode gerar instabilidade hemodinâmica.
Propofol,sedativo,Sedativo,200,mg,20,5 frascos (100mL) puro,1000,100,0.3-3,kg/h,10,N,,,Sedativo. Pode gerar cardiodepressão.
Midazolam,sedativo,Sedativo,50,mg,10,5 frascos (50mL) + SF 0.9% 50mL,250,100,0.02-0.2,kg/h,2.5,N,,,Sedativo benzodiazepínico. Pode gerar cardiodepressão
Dexmedetomidina,sedativo,Sedativo,200,mcg,2,2 frascos (04mL) + SF 0.9% 96mL,400,100,0.2-1.4,kg/h,4,N,,,Sedativo alfa-adrenérgico central com baixa depressão respiratória
Noradrenalina,dva,Droga vasoativa,16000,mcg,4,4 frascos (16mL) + SG 5% 234mL,64000,250,0.05-1.5,kg/min,256,N,,,Vasopressor alfa-adrenérgico
Noradrenalina (dobrada),dva,Droga vasoativa,16000,mcg,4,8 frascos (32mL) + SG 5% 218mL,128000,250,0.05-1.5,kg/min,512,N,,,Vasopressor alfa-adrenérgico
Dobutamina,dva,Droga vasoativa,250000,mcg,20,2 frasco (40mL) + SF 0.9% 210mL,500000,250,2.5-20,kg/min,2000,N,,,Vasopressor beta-adrenérgico inotrópico positivo
Nitroglicerina,dva,Droga vasoativa,50000,mcg,10,1 frasco (10mL) + SF 0.9% 240mL,50000,250,0.5-10,min,200,N,,,Vasodilatador coronariano e sistêmico venoso
Nitroprussiato de Sódio,dva,Droga vasoativa,50000,mcg,2,1 frasco (02mL) + SG 5% 248mL,50000,250,0.5-10,kg/min,200,N,,,Vasodilatador arterial e venoso
Adrenalina,dva,Droga vasoativa,1,mg,1,16 frascos (16mL) + SG 5% 234mL,16,250,1-10,min,64,N,,,Vasopressor adrenérgico
Vasopressina,dva,Droga vasoativa,20,U,1,1 frasco (20U) + SG 5% 99mL,20,100,0.01-0.04,min,0.2,N,,,Vasopressor não-adrenérgico
Insulina Regular,,Insulina,1000,U,10,01mL + SF 0.9% 99mL,100,100,,,1,N,,,
Glulisina,,Insulina,100,U,1,01mL + SF 0.9% 99mL,100,100,,,1,N,,,
Adrenalina,pcr,Droga vasoativa,1,mg,1,"1 frasco (01mL) + AD 9mL, seguido por flush de SF 0.9%",1,10,1,fix,0.1,S,1,1,Primeira dose após 2º choque ou quando identificado ritmo não chocável. Repetir dose a cada 3-5min
Amiodarona,pcr,Antiarrítmico,150,mg,3,"2 frasco (06mL) puro, em bolus, seguido por flush com SF 0.9%",300,6,300,fix,50,S,150,3,Primeira dose após 3º choque. Pode ser repetida (metade da dose)
Bicarbonato de Sódio 8.4% (ampola),pcr,Outros,10,mEq,10,"puro, em bolus, seguido por flush com SF 0.9%",10,10,1.0-2.0,fix/kg,1,S,0.75,,Primeira dose completa. Pode ser repetida a cada 15min (metade da dose)
Bicarbonato de Sódio 8.4% (frasco),pcr,Outros,250,mEq,250,"puro, em bolus, seguido por flush com SF 0.9%",250,250,1.0-2.0,fix/kg,1,S,0.75,,Primeira dose completa. Pode ser repetida a cada 15min (metade da dose)
Gluconato de Cálcio 10%,pcr,Eletrólitos,1,g,10,"3 frascos (30mL) puro, em bolus,seguido por flush com SF 0.9%",3,30,3,fix,0.1,S,,,Pode ser repetida a cada 2-5min
Sulfato de Magnésio 10%,pcr,Eletrólitos,1,g,10,"2 frascos (20mL) puro, em bolus, seguido por flush em SF 0.9%",2,20,2,fix,0.1,S,,,"Dose de ataque 1-2g EV, manutenção de 0.5-2g/h"
Lidocaína 2%,pcr,Antiarrítmico,40,mg,20,"puro, em bolus, seguido por flush com SF 0.9%",40,20,1-1.5,fix/kg,2,S,,,